frame_id,worker_id,x,y,vx,vy,vehicle_v,vehicle_dir
0,0,25.0,-5.0,0.0,1.0,2.0,0.0
1,0,25.0,-4.9,0.0,1.0,2.0,0.0
2,0,25.0,-4.8,0.0,1.0,2.0,0.0
3,0,25.0,-4.7,0.0,1.0,2.0,0.0
4,0,25.0,-4.6,0.0,1.0,2.0,0.0
5,0,25.0,-4.5,0.0,1.0,2.0,0.0
6,0,25.0,-4.4,0.0,1.0,2.0,0.0
7,0,25.0,-4.3,0.0,1.0,2.0,0.0
8,0,25.0,-4.2,0.0,1.0,2.0,0.0
9,0,25.0,-4.1,0.0,1.0,2.0,0.0
10,0,25.0,-4.0,0.0,1.0,2.0,0.0
11,0,25.0,-3.9,0.0,1.0,2.0,0.0
12,0,25.0,-3.8,0.0,1.0,2.0,0.0
13,0,25.0,-3.7,0.0,1.0,2.0,0.0
14,0,25.0,-3.5999999999999996,0.0,1.0,2.0,0.0
15,0,25.0,-3.5,0.0,1.0,2.0,0.0
16,0,25.0,-3.4,0.0,1.0,2.0,0.0
17,0,25.0,-3.3,0.0,1.0,2.0,0.0
18,0,25.0,-3.2,0.0,1.0,2.0,0.0
19,0,25.0,-3.0999999999999996,0.0,1.0,2.0,0.0
20,0,25.0,-3.0,0.0,1.0,2.0,0.0
21,0,25.0,-2.9,0.0,1.0,2.0,0.0
22,0,25.0,-2.8,0.0,1.0,2.0,0.0
23,0,25.0,-2.6999999999999997,0.0,1.0,2.0,0.0
24,0,25.0,-2.5999999999999996,0.0,1.0,2.0,0.0
25,0,25.0,-2.5,0.0,1.0,2.0,0.0
26,0,25.0,-2.4,0.0,1.0,2.0,0.0
27,0,25.0,-2.3,0.0,1.0,2.0,0.0
28,0,25.0,-2.1999999999999997,0.0,1.0,2.0,0.0
29,0,25.0,-2.0999999999999996,0.0,1.0,2.0,0.0
30,0,25.0,-2.0,0.0,1.0,2.0,0.0
31,0,25.0,-1.9,0.0,1.0,2.0,0.0
32,0,25.0,-1.7999999999999998,0.0,1.0,2.0,0.0
33,0,25.0,-1.6999999999999997,0.0,1.0,2.0,0.0
34,0,25.0,-1.5999999999999996,0.0,1.0,2.0,0.0
35,0,25.0,-1.5,0.0,1.0,2.0,0.0
36,0,25.0,-1.4,0.0,1.0,2.0,0.0
37,0,25.0,-1.2999999999999998,0.0,1.0,2.0,0.0
38,0,25.0,-1.1999999999999997,0.0,1.0,2.0,0.0
39,0,25.0,-1.0999999999999996,0.0,1.0,2.0,0.0
40,0,25.0,-1.0,0.0,1.0,2.0,0.0
41,0,25.0,-0.8999999999999995,0.0,1.0,2.0,0.0
42,0,25.0,-0.7999999999999998,0.0,1.0,2.0,0.0
43,0,25.0,-0.7000000000000002,0.0,1.0,2.0,0.0
44,0,25.0,-0.5999999999999996,0.0,1.0,2.0,0.0
45,0,25.0,-0.5,0.0,1.0,2.0,0.0
46,0,25.0,-0.39999999999999947,0.0,1.0,2.0,0.0
47,0,25.0,-0.2999999999999998,0.0,1.0,2.0,0.0
48,0,25.0,-0.1999999999999993,0.0,1.0,2.0,0.0
49,0,25.0,-0.09999999999999964,0.0,1.0,2.0,0.0
50,0,25.0,0.0,0.0,1.0,2.0,0.0
51,0,25.0,0.10000000000000053,0.0,1.0,2.0,0.0
52,0,25.0,0.20000000000000018,0.0,1.0,2.0,0.0
53,0,25.0,0.3000000000000007,0.0,1.0,2.0,0.0
54,0,25.0,0.40000000000000036,0.0,1.0,2.0,0.0
55,0,25.0,0.5,0.0,1.0,2.0,0.0
56,0,25.0,0.6000000000000005,0.0,1.0,2.0,0.0
57,0,25.0,0.7000000000000002,0.0,1.0,2.0,0.0
58,0,25.0,0.8000000000000007,0.0,1.0,2.0,0.0
59,0,25.0,0.9000000000000004,0.0,1.0,2.0,0.0
60,0,25.0,1.0,0.0,1.0,2.0,0.0
61,0,25.0,1.1000000000000005,0.0,1.0,2.0,0.0
62,0,25.0,1.2000000000000002,0.0,1.0,2.0,0.0
63,0,25.0,1.3000000000000007,0.0,1.0,2.0,0.0
64,0,25.0,1.4000000000000004,0.0,1.0,2.0,0.0
65,0,25.0,1.5,0.0,1.0,2.0,0.0
66,0,25.0,1.6000000000000005,0.0,1.0,2.0,0.0
67,0,25.0,1.7000000000000002,0.0,1.0,2.0,0.0
68,0,25.0,1.8000000000000007,0.0,1.0,2.0,0.0
69,0,25.0,1.9000000000000004,0.0,1.0,2.0,0.0
70,0,25.0,2.0,0.0,1.0,2.0,0.0
71,0,25.0,2.1000000000000005,0.0,1.0,2.0,0.0
72,0,25.0,2.2,0.0,1.0,2.0,0.0
73,0,25.0,2.3000000000000007,0.0,1.0,2.0,0.0
74,0,25.0,2.4000000000000004,0.0,1.0,2.0,0.0
75,0,25.0,2.5,0.0,1.0,2.0,0.0
76,0,25.0,2.6000000000000005,0.0,1.0,2.0,0.0
77,0,25.0,2.7,0.0,1.0,2.0,0.0
78,0,25.0,2.8000000000000007,0.0,1.0,2.0,0.0
79,0,25.0,2.9000000000000004,0.0,1.0,2.0,0.0
80,0,25.0,3.0,0.0,1.0,2.0,0.0
81,0,25.0,3.0999999999999996,0.0,1.0,2.0,0.0
82,0,25.0,3.200000000000001,0.0,1.0,2.0,0.0
83,0,25.0,3.3000000000000007,0.0,1.0,2.0,0.0
84,0,25.0,3.4000000000000004,0.0,1.0,2.0,0.0
85,0,25.0,3.5,0.0,1.0,2.0,0.0
86,0,25.0,3.5999999999999996,0.0,1.0,2.0,0.0
87,0,25.0,3.700000000000001,0.0,1.0,2.0,0.0
88,0,25.0,3.8000000000000007,0.0,1.0,2.0,0.0
89,0,25.0,3.9000000000000004,0.0,1.0,2.0,0.0
90,0,25.0,4.0,0.0,1.0,2.0,0.0
91,0,25.0,4.1,0.0,1.0,2.0,0.0
92,0,25.0,4.200000000000001,0.0,1.0,2.0,0.0
93,0,25.0,4.300000000000001,0.0,1.0,2.0,0.0
94,0,25.0,4.4,0.0,1.0,2.0,0.0
95,0,25.0,4.5,0.0,1.0,2.0,0.0
96,0,25.0,4.600000000000001,0.0,1.0,2.0,0.0
97,0,25.0,4.700000000000001,0.0,1.0,2.0,0.0
98,0,25.0,4.800000000000001,0.0,1.0,2.0,0.0
99,0,25.0,4.9,0.0,1.0,2.0,0.0
