ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,15,-4.750000,-7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,18,-4.750000,-5.750000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,19,-4.750000,-5.250000,7.663600,5,0.075793,0.186137,0.015873,0,0
0,20,-4.750000,-4.750000,7.118556,9,0.092896,0.343222,0.015067,0,0
0,21,-4.750000,-4.250000,6.706571,7,0.099047,0.271757,0.014498,0,0
0,22,-4.750000,-3.750000,6.185429,7,0.060923,0.277837,0.013826,0,0
0,23,-4.750000,-3.250000,6.108327,46,0.382886,0.796389,0.013731,0,0
0,24,-4.750000,-2.750000,5.730816,38,0.586746,0.808973,0.013284,0,0
0,25,-4.750000,-2.250000,5.509546,101,1.000000,0.816348,0.013036,0,0
0,26,-4.750000,-1.750000,5.513973,145,0.749470,0.816201,0.013040,0,0
0,27,-4.750000,-1.250000,5.662783,23,0.136303,0.811241,0.013207,0,0
0,29,-4.750000,-0.250000,5.100937,48,0.057425,0.829969,0.012602,0,0
0,30,-4.750000,0.250000,4.991561,50,0.096882,0.833615,0.012492,0,0
0,32,-4.750000,1.250000,5.199264,19,0.945485,0.785357,0.012703,0,0
0,33,-4.750000,1.750000,5.338685,181,0.497710,0.822044,0.012850,0,0
0,34,-4.750000,2.250000,5.484156,149,0.991194,0.817195,0.013008,0,0
0,35,-4.750000,2.750000,5.778908,88,0.643795,0.807370,0.013340,0,0
0,36,-4.750000,3.250000,5.956243,37,0.331449,0.801459,0.013548,0,0
0,38,-4.750000,4.250000,6.612472,17,0.206308,0.662647,0.014372,0,0
0,39,-4.750000,4.750000,6.955850,40,0.506104,0.768138,0.014838,0,0
0,40,-4.750000,5.250000,7.330444,27,0.533382,0.755652,0.015374,0,0
0,41,-4.750000,5.750000,7.665000,5,0.356128,0.186125,0.015875,0,0
0,42,-4.750000,6.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,43,-4.750000,6.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,44,-4.750000,7.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
