ix,iy,x_center,y_center,range,point_count,risk,confidence,sigma_r,lambda_min,lambda_max
0,25,-4.750000,-2.250000,5.462365,107,0.288543,0.817921,0.012984,0,0
0,26,-4.750000,-1.750000,5.393880,166,0.288928,0.820204,0.012909,0,0
0,27,-4.750000,-1.250000,5.248800,175,0.288927,0.825040,0.012755,0,0
0,28,-4.750000,-0.750000,5.134267,180,0.294349,0.828858,0.012636,0,0
0,29,-4.750000,-0.250000,5.080821,166,0.425743,0.830639,0.012581,0,0
0,30,-4.750000,0.250000,5.048271,174,0.534398,0.831724,0.012549,0,0
0,31,-4.750000,0.750000,5.088890,173,0.180737,0.830370,0.012590,0,0
0,32,-4.750000,1.250000,5.233227,177,0.520202,0.825559,0.012739,0,0
0,33,-4.750000,1.750000,5.318482,168,1.000000,0.822717,0.012829,0,0
0,34,-4.750000,2.250000,5.505656,142,1.000000,0.816478,0.013031,0,0
0,35,-4.750000,2.750000,5.741207,151,1.000000,0.808626,0.013296,0,0
0,36,-4.750000,3.250000,6.011778,72,1.000000,0.799607,0.013614,0,0
0,37,-4.750000,3.750000,6.163273,22,1.000000,0.794558,0.013799,0,0
0,38,-4.750000,4.250000,6.769732,56,1.000000,0.774342,0.014583,0,0
0,39,-4.750000,4.750000,6.875376,16,1.000000,0.616657,0.014727,0,0
0,40,-4.750000,5.250000,7.256600,15,1.000000,0.568585,0.015266,0,0
0,41,-4.750000,5.750000,7.597001,4,0.220799,0.149353,0.015771,0,0
0,42,-4.750000,6.250000,8.022667,3,1.000000,0.109887,0.016436,0,0
0,43,-4.750000,6.750000,8.262857,7,1.000000,0.253600,0.016827,0,0
0,44,-4.750000,7.250000,0.000000,2,0.000000,0.000000,0.010000,0,0
0,45,-4.750000,7.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,46,-4.750000,8.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,47,-4.750000,8.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,48,-4.750000,9.250000,0.000000,1,0.000000,0.000000,0.010000,0,0
0,55,-4.750000,12.750000,0.000000,1,0.000000,0.000000,0.010000,0,0
1,24,-4.250000,-2.750000,5.047500,4,1.000000,0.166350,0.012548,0,0
1,25,-4.250000,-2.250000,4.965200,55,0.140089,0.834493,0.012465,0,0
1,26,-4.250000,-1.750000,4.742837,104,0.237379,0.841905,0.012249,0,0
1,27,-4.250000,-1.250000,4.552452,113,0.156382,0.848252,0.012072,0,0
1,28,-4.250000,-0.750000,4.428737,129,0.137484,0.852375,0.011961,0,0
